Summary for Savings Accounts - EUR						
Description	Amount					
Saldo początkowe	0€					
Suma wpłat	697,92€					
Suma wypłat	613,84€					
Łączna kwota zarobionych odsetek	1,66€					
Podatek ogółem	0€					
Opłaty ogółem	0€					
Saldo końcowe	85,74€					
						
Summary for Savings Accounts - PLN						
Description	Amount					
Saldo początkowe	0 PLN					
Suma wpłat	1 300,00 PLN					
Suma wypłat	1 310,09 PLN					
Łączna kwota zarobionych odsetek	10,09 PLN					
Podatek ogółem	0 PLN					
Opłaty ogółem	0 PLN					
Saldo końcowe	0 PLN					
						
Summary for Crypto						
Sells summary	Amount					
Wpływy brutto	7,95$					
Podstawa kosztowa	0$					
Zrealizowany zysk/strata brutto	7,95$					
						
Transactions for Savings Accounts - EUR						
Date	Description	Money out	Money in	Balance		
23 cze 2025	Interest earned		0,01€	338,33€		
24 cze 2025	Interest earned		0,01€	338,34€		
25 cze 2025	Interest earned		0,01€	338,35€		
26 cze 2025	Interest earned		0,01€	338,36€		
27 cze 2025	Interest earned		0,01€	338,37€		
28 cze 2025	Interest earned		0,01€	338,38€		
29 cze 2025	Interest earned		0,01€	338,39€		
30 cze 2025	Interest earned		0,01€	338,40€		
1 lip 2025	Interest earned		0,01€	338,41€		
2 lip 2025	Interest earned		0,01€	338,42€		
3 lip 2025	Interest earned		0,01€	338,43€		
4 lip 2025	Interest earned		0,01€	338,44€		
5 lip 2025	Interest earned		0,01€	338,45€		
6 lip 2025	Interest earned		0,01€	338,46€		
7 lip 2025	Interest earned		0,01€	338,47€		
8 lip 2025	Interest earned		0,01€	338,48€		
9 lip 2025	Interest earned		0,01€	338,49€		
10 lip 2025	Interest earned		0,01€	338,50€		
11 lip 2025	Interest earned		0,01€	338,51€		
12 lip 2025	Interest earned		0,01€	338,52€		
13 lip 2025	Interest earned		0,01€	338,53€		
13 lip 2025	Withdrawing savings	100€		238,53€		
14 lip 2025	Interest earned		0,01€	238,54€		
15 lip 2025	Interest earned		0,01€	238,55€		
16 lip 2025	Interest earned		0,01€	238,56€		
18 lip 2025	Interest earned		0,01€	238,57€		
19 lip 2025	Interest earned		0,01€	238,58€		
21 lip 2025	Interest earned		0,01€	238,59€		
22 lip 2025	Interest earned		0,01€	238,60€		
23 lip 2025	Interest earned		0,01€	238,61€		
25 lip 2025	Interest earned		0,01€	238,62€		
26 lip 2025	Interest earned		0,01€	238,63€		
27 lip 2025	Depositing savings		74,83€	313,46€		
28 lip 2025	Interest earned		0,01€	313,47€		
29 lip 2025	Interest earned		0,01€	313,48€		
30 lip 2025	Interest earned		0,01€	313,49€		
31 lip 2025	Interest earned		0,01€	313,50€		
1 sie 2025	Interest earned		0,01€	313,51€		
2 sie 2025	Interest earned		0,01€	313,52€		
3 sie 2025	Interest earned		0,01€	313,53€		
4 sie 2025	Interest earned		0,01€	313,54€		
5 sie 2025	Interest earned		0,01€	313,55€		
6 sie 2025	Interest earned		0,01€	313,56€		
7 sie 2025	Interest earned		0,01€	313,57€		
8 sie 2025	Interest earned		0,01€	313,58€		
9 sie 2025	Interest earned		0,01€	313,59€		
11 sie 2025	Interest earned		0,01€	313,60€		
12 sie 2025	Interest earned		0,01€	313,61€		
13 sie 2025	Interest earned		0,01€	313,62€		
14 sie 2025	Interest earned		0,01€	313,63€		
15 sie 2025	Interest earned		0,01€	313,64€		
16 sie 2025	Interest earned		0,01€	313,65€		
17 sie 2025	Interest earned		0,01€	313,66€		
18 sie 2025	Interest earned		0,01€	313,67€		
19 sie 2025	Interest earned		0,01€	313,68€		
20 sie 2025	Interest earned		0,01€	313,69€		
21 sie 2025	Interest earned		0,01€	313,70€		
22 sie 2025	Interest earned		0,01€	313,71€		
23 sie 2025	Interest earned		0,01€	313,72€		
24 sie 2025	Interest earned		0,01€	313,73€		
25 sie 2025	Interest earned		0,01€	313,74€		
26 sie 2025	Interest earned		0,01€	313,75€		
27 sie 2025	Interest earned		0,01€	313,76€		
29 sie 2025	Interest earned		0,01€	313,77€		
30 sie 2025	Interest earned		0,01€	313,78€		
31 sie 2025	Interest earned		0,01€	313,79€		
1 wrz 2025	Interest earned		0,01€	313,80€		
2 wrz 2025	Interest earned		0,01€	313,81€		
3 wrz 2025	Interest earned		0,01€	313,82€		
3 wrz 2025	Withdrawing savings	313,82€		0€		
4 wrz 2025	Interest earned		0,01€	0,01€		
4 wrz 2025	Depositing savings		100€	100,01€		
5 wrz 2025	Depositing savings		100,01€	200,02€		
5 wrz 2025	Withdrawing savings	200,02€		0€		
6 wrz 2025	Interest earned		0,01€	0,01€		
8 wrz 2025	Interest earned		0,01€	0,02€		
11 wrz 2025	Depositing savings		85,71€	85,73€		
13 wrz 2025	Interest earned		0,01€	85,74€		
						
Transactions for Savings Accounts - PLN						
Date	Description	Money out	Money in	Balance		
19 Mar 2025	Depositing savings		500 PLN	500 PLN		
22 Mar 2025	Interest earned		0,04 PLN	500,04 PLN		
23 Mar 2025	Interest earned		0,04 PLN	500,08 PLN		
24 Mar 2025	Interest earned		0,04 PLN	500,12 PLN		
25 Mar 2025	Interest earned		0,04 PLN	500,16 PLN		
26 Mar 2025	Interest earned		0,05 PLN	500,21 PLN		
27 Mar 2025	Interest earned		0,04 PLN	500,25 PLN		
